track_name,artist,album
Aamani,S. P. Balasubrahmanyam,Geetanjali (Original Motion Picture Soundtrack)
Adi Vaanmathi,Ilaiyaraaja,Siva (Original Motion Picture Soundtrack)
Andalalo,S. P. Balasubrahmanyam,Jagadekaveerudu Athiloka Sundari
Anjali Anjali,S. P. Balasubrahmanyam,Duet
Bhuvanam Sharanam,Sohan Chakravarthy,Vamshi (Original Motion Picture Soundtrack)
Can't Help Falling in Love,Elvis Presley,Blue Hawaii
Die With A Smile,Lady Gaga,Die With A Smile
Die With A Smile,Lady Gaga,Die With A Smile (Main + Instrumental)
"En Kaadhale (From ""Duet"")",S. P. Balasubrahmanyam,SPB Evergreen Songs
Ghal Ghal,S. P. Balasubrahmanyam,Nuvvostanante Nenoddantana
Idhayam Oru Kovil,Ilaiyaraaja,Idhaya Kovil (Original Motion Picture Soundtrack)
Jhuki Jhuki Si Nazar - Jagjit,Jagjit Singh,Arth
"Kaadhal Rojave (From ""Roja"")",S. P. Balasubrahmanyam,Sujatha - Tamil Hits
"Kadalenum (From ""Kadhalar Dhinam"")",S. P. Balasubrahmanyam,Hits of A.R.Rahman and Harris Jayaraj
Kan Kanna Salige,V Nagendra Prasad,Navagraha (Original Motion Picture Soundtrack)
Koi Fariyaad,Jagjit Singh,Tum Bin
Madhuveyaee,S. P. Balasubrahmanyam,Seetha
Mahadevi Kateeleshwari,S. P. Balasubrahmanyam,Gandha Pursada Vol-1
Malle Puvvulu,S. P. Balasubrahmanyam,Attanu Diddina Kodalu
Malle Puvvulu,S. P. Balasubrahmanyam,Attanu Diddina Kodalu (Original Motion Picture Soundtrack)
Mandram Vandha,Ilaiyaraaja,Mouna Ragam (Original Motion Picture Soundtrack)
Nan pogiren,James Vasanthan,Naanayam (Original Motion Picture Soundtrack)
Nenjukkule Innarendru,S. P. Balasubrahmanyam,Ponnumani
Nenjukkule Innarendru,S. P. Balasubrahmanyam,Ponnumani
Nithiyathil Erupeerum,S. P. Balasubrahmanyam,Sigaram (Original Motion Picture Soundtrack)
O Bekhabar,Pritam,Action Replayy
O Priiyatama,S. P. Balasubrahmanyam,Nuvvu Naaku Nachchav
Oh Priya,S. P. Balasubrahmanyam,Malle Poovu
Oh Priya,S. P. Balasubrahmanyam,Malle Poovu (Original Motion Picture Soundtrack)
Ondu Aparoopada,S. P. Balasubrahmanyam,Srigandha (Original Motion Picture Soundtrack)
Pulikku Perandhavane,S. P. Balasubrahmanyam,Sigaram (Original Motion Picture Soundtrack)
Ranjish Hi Sahi,Mehdi Hassan,25 Everlasting Ghazals By Mehdi Hassan
Rishte Naate,Rahat Fateh Ali Khan,De Dana Dan (Original Motion Picture Soundtrack)
Snowman,Sia,Everyday Is Christmas (Deluxe Edition)
Swasamae,S. P. Balasubrahmanyam,Thenali
Thedum Kann Paarvai,S. P. Balasubrahmanyam,Mella Thirandhadhu Kadhavu (Original Motion Picture Soundtrack)
Tujh Ko Dariya Dil Ki Kasam,Jagjit Singh,Ghazals For The Connoisseur (Mere Naseeb Mein)
Vannam Konda,S. P. Balasubrahmanyam,Sigaram (Original Motion Picture Soundtrack)
Vannam Konda,S. P. Balasubrahmanyam,Sigaram (Original Motion Picture Soundtrack)
blue,yung kai,blue
